Flag,Presentation,Reference
0x00,Allowed user/number not screened,[RFC5457]
0x01,Allowed user/number passed screen,[RFC5457]
0x02,Allowed user/number failed screen,[RFC5457]
0x03,Allowed network number,[RFC5457]
0x04-0x1A,Unassigned,
0x020,Prohibited user/number not screened,[RFC5457]
0x021,Prohibited user/number passed screen,[RFC5457]
0x022,Prohibited user/number failed screen,[RFC5457]
0x023,Prohibited network number,[RFC5457]
0x24-0x42,Unassigned,
0x043,Number not available,[RFC5457]
0x44-0xFF,Unassigned,
