Value,Name,Reference
0,MAPDV2,"Clause 6.2.3.2 of ITU-T Rec. G.1020, [RFC6798]"
1,2-point PDV,"Clause 6.2.4 of ITU-T Rec. Y.1540, [RFC6798]"
2-15,Unassigned,
