Crypto Suite Name,Reference
AES_CM_128_HMAC_SHA1_80,[RFC4568]
AES_CM_128_HMAC_SHA1_32,[RFC4568]
F8_128_HMAC_SHA1_80,[RFC4568]
SEED_CTR_128_HMAC_SHA1_80,[RFC5669]
SEED_128_CCM_80,[RFC5669]
SEED_128_GCM_96,[RFC5669]
AES_192_CM_HMAC_SHA1_80,[RFC6188]
AES_192_CM_HMAC_SHA1_32,[RFC6188]
AES_256_CM_HMAC_SHA1_80,[RFC6188]
AES_256_CM_HMAC_SHA1_32,[RFC6188]
AEAD_AES_128_GCM,[RFC7714]
AEAD_AES_256_GCM,[RFC7714]
