Code Value,Message Code Name,Reference
0x0000,InvalidMessageCode,[RFC7019]
0x0001,CreateALMTree,[RFC7019]
0x0002,CreateALMTreeResponse,[RFC7019]
0x0003,Join,[RFC7019]
0x0004,JoinAccept,[RFC7019]
0x0005,JoinReject,[RFC7019]
0x0006,JoinConfirm,[RFC7019]
0x0007,JoinConfirmResponse,[RFC7019]
0x0008,JoinDecline,[RFC7019]
0x0009,JoinDeclineResponse,[RFC7019]
0x000A,Leave,[RFC7019]
0x000B,LeaveResponse,[RFC7019]
0x000C,Reform,[RFC7019]
0x000D,ReformResponse,[RFC7019]
0x000E,Heartbeat,[RFC7019]
0x000F,HeartbeatResponse,[RFC7019]
0x0010,NodeQuery,[RFC7019]
0x0011,NodeQueryResponse,[RFC7019]
0x0012,Push,[RFC7019]
0x0013,PushResponse,[RFC7019]
0x0014-0x7FFF,Unassigned,
0x8000-0xFFFF,Reserved for Private Use,[RFC7019]
