Value,Description,Reference
0,Path-Coupled MRM,[RFC5971]
1,Loose-End MRM,[RFC5971]
2-119,Unassigned,
120-127,Reserved for Private/Experimental Use,[RFC5971]
128-255,Reserved,[RFC5971]
