Prefix,SnmpDomains,Reference
udp,snmpUDPDomain,[RFC3417][RFC5590]
clns,snmpCLNSDomain,[RFC3417][RFC5590]
cons,snmpCONSDomain,[RFC3417][RFC5590]
ddp,snmpDDPDomain,[RFC3417][RFC5590]
ipx,snmpIPXDomain,[RFC3417][RFC5590]
prxy,rfc1157Domain,[RFC3417][RFC5590]
ssh,snmpSSHDomain,[RFC5592]
tls,snmpTLSTCPDomain,[RFC6353]
dtls,snmpDTLSUDPDomain,[RFC6353]
