Value,Description,Reference
128,AT_ENCR_DATA,[RFC4763]
129,AT_IV,[RFC4763]
130,AT_PADDING,[RFC4763]
131,AT_NEXT_TMPID,[RFC4763]
132,AT_MSK_LIFE,[RFC4763]
133-255,Unassigned,
