Value,Name,Reference
0,AESKW128,[RFC-ietf-perc-srtp-ekt-diet-13]
1,AESKW256,[RFC-ietf-perc-srtp-ekt-diet-13]
2-254,Unassigned,
255,Reserved,[RFC-ietf-perc-srtp-ekt-diet-13]
