OUI (in hex),Organization,Reference
CF0001,NTT Mobile Communications Network,
CF0001,Data Comm for Business [1],[John_McCain]
CF0002,3GPP2 Vendor specific packet ID,[Trevor_Plestid]
CF0003,"Trafficmaster, Plc",[David_Fernandez]
CF0004-CFFFFF,Reserved: Registry closed,
