Value,Description,Reference
0,Reserved,[RFC4233][RFC3868][RFC3331]
1,Interface Identifier (Integer),[RFC4233][RFC3331][RFC4129][RFC3807]
2,Reserved,[RFC4233]
3,Interface Identifier (Text),[RFC4233][RFC3331][RFC4129][RFC3807]
4,Info String,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
5,DLCI,[RFC4233][RFC4129]
6,Routing Context,[RFC4666][RFC3868]
7,Diagnostic Information,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
8,Interface Identifier (Integer Range),[RFC4233][RFC3331][RFC4129][RFC3807]
9,Heartbeat Data,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
10,Reason,[RFC4129][RFC3807]
11,Traffic Mode Type,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
12,Error Code,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
13,Status Type/Information,[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3807]
14,Protocol Data,[RFC4233][RFC4129][RFC3807]
15,Release Reason,[RFC4233][RFC4129][RFC3807]
16,Status,[RFC4233][RFC4129][RFC3807]
17,ASP Identifier,[RFC3331][RFC4666][RFC3868]
18,Affected Point Code,[RFC4666][RFC3868]
19,Correlation Id,[RFC3331][RFC4666][RFC3868]
20,Registration Result,[RFC3868]
21,Deregistration Result,[RFC3868]
22,Registration Status,[RFC3868]
23,Deregistration Status,[RFC3868]
24,Local Routing Key Identifier,[RFC3868]
25-128,Unassigned,
129,DLCI/EFA,[RFC3807]
130,Link Status,[RFC3807]
131,Bit ID/Bit Value,[RFC3807]
132,Error Reason,[RFC3807]
133-255,Unassigned,
256,Unassigned,
257,SS7 Hop Counter,[RFC3868]
258,Source Address,[RFC3868]
259,Destination Address,[RFC3868]
260,Source Reference Number,[RFC3868]
261,Destination Reference Number,[RFC3868]
262,SCCP Cause,[RFC3868]
263,Sequence Number,[RFC3868]
264,Receive Sequence Number,[RFC3868]
265,ASP Capabilities,[RFC3868]
266,Credit,[RFC3868]
267,Data,[RFC3868]
268,Cause / User,[RFC3868]
269,Network Appearance,[RFC3868]
270,Routing Key,[RFC3868]
271,DRN Label,[RFC3868]
272,TID Label,[RFC3868]
273,Address Range,[RFC3868]
274,SMI,[RFC3868]
275,Importance,[RFC3868]
276,Message Priority,[RFC3868]
277,Protocol Class,[RFC3868]
278,Sequence Control,[RFC3868]
279,Segmentation,[RFC3868]
280,Congestion Level,[RFC3868]
281-511,Unassigned,
512,Network Appearance,[RFC4666]
513,Reserved,[RFC4666]
514,Reserved,[RFC4666]
515,Reserved,[RFC4666]
516,User/Cause,[RFC4666]
517,Congestion Indications,[RFC4666]
518,Concerned Destination,[RFC4666]
519,Routing Key,[RFC4666]
520,Registration Result,[RFC4666]
521,Deregistration Result,[RFC4666]
522,Local_Routing Key Identifier,[RFC4666]
523,Destination Point Code,[RFC4666]
524,Service Indicators,[RFC4666]
525,Reserved,[RFC4666]
526,Originating Point Code List,[RFC4666]
527,Circuit Range,[RFC4666]
528,Protocol Data,[RFC4666]
529,Reserved,[RFC4666]
530,Registration Status,[RFC4666]
531,Deregistration Status,[RFC4666]
532-767,Unassigned,
768,Protocol Data 1,[RFC3331]
769,Protocol Data 2 (TTC),[RFC3331]
770,State Request,[RFC3331]
771,State Event,[RFC3331]
772,Congestion Status,[RFC3331]
773,Discard Status,[RFC3331]
774,Action,[RFC3331]
775,Sequence Number,[RFC3331]
776,Retrieval Result,[RFC3331]
777,Link Key,[RFC3331]
778,Local-LK-Identifier,[RFC3331]
779,Signalling Data Terminal (SDT) Identifier,[RFC3331]
780,Signalling Data Link (SDL) Identifier,[RFC3331]
781,Registration Result,[RFC3331]
782,Registration Status,[RFC3331]
783,De-Registration Result,[RFC3331]
784,De-Registration Status,[RFC3331]
785-32768,Unassigned,
32769,Global Title,[RFC3868]
32770,Point Code,[RFC3868]
32771,Subsystem Number,[RFC3868]
32772,IPv4 Address,[RFC3868]
32773,Hostname,[RFC3868]
32774,IPv6 Addresses,[RFC3868]
32775-65534,Unassigned,
65535,Reserved,[RFC4233]
