Value,Description,Reference
0,Reserved,[RFC3331]
1,Data,[RFC3331]
2,Establish Request,[RFC3331]
3,Establish Confirm,[RFC3331]
4,Release Request,[RFC3331]
5,Release Confirm,[RFC3331]
6,Release Indication,[RFC3331]
7,State Request,[RFC3331]
8,State Confirm,[RFC3331]
9,State Indication,[RFC3331]
10,Data Retrieval Request,[RFC3331]
11,Data Retrieval Confirm,[RFC3331]
12,Data Retrieval Indication,[RFC3331]
13,Data Retrieval Complete Indication,[RFC3331]
14,Congestion Indication,[RFC3331]
15,Data Acknowledge,[RFC3331]
16-127,Unassigned,
128-255,Reserved for IETF-Defined MAUP extensions,
