Value,Description,Reference
0,Error (ERR),[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3057]
1,Notify (NTFY),[RFC4233][RFC3331][RFC4666][RFC3868][RFC4129][RFC3057]
2,TEI Status Request,[RFC4233][RFC3057]
3,TEI Status Confirm,[RFC4233][RFC3057]
4,TEI Status Indication,[RFC4233][RFC3057]
5,DLC Status Request,[RFC4129]
6,DLC Status Confirm,[RFC4129]
7,DLC Status Indication,[RFC4129]
8,TEI Query Request,[RFC5133][RFC4233]
9-127,Unassigned,
128-255,Reserved for IETF-Defined MGMT extensions,
