Reason Code,Symbolic Name,Reference
0x00000000,Reserved,
0x00000001,SSH_OPEN_ADMINISTRATIVELY_PROHIBITED,[RFC4254]
0x00000002,SSH_OPEN_CONNECT_FAILED,[RFC4254]
0x00000003,SSH_OPEN_UNKNOWN_CHANNEL_TYPE,[RFC4254]
0x00000004,SSH_OPEN_RESOURCE_SHORTAGE,[RFC4254]
0x00000005-0xFDFFFFFF,Unassigned,
0xFE000000-0xFFFFFFFF,Reserved for Private Use,
