Value,Name,Reference
0,Reserved,[RFC5740]
1,NORM_CMD(FLUSH),[RFC5740]
2,NORM_CMD(EOT),[RFC5740]
3,NORM_CMD(SQUELCH),[RFC5740]
4,NORM_CMD(CC),[RFC5740]
5,NORM_CMD(REPAIR_ADV),[RFC5740]
6,NORM_CMD(ACK_REQ),[RFC5740]
7,NORM_CMD(APPLICATION),[RFC5740]
8-255,Unassigned,
