Structured Data ID,Structured Data Parameter,Mandatory or Optional,Reference
timeQuality,,OPTIONAL,[RFC5424]
,tzKnown,OPTIONAL,[RFC5424]
,isSynced,OPTIONAL,[RFC5424]
,syncAccuracy,OPTIONAL,[RFC5424]
origin,,OPTIONAL,[RFC5424]
,ip,OPTIONAL,[RFC5424]
,enterpriseId,OPTIONAL,[RFC5424]
,software,OPTIONAL,[RFC5424]
,swVersion,OPTIONAL,[RFC5424]
meta,,OPTIONAL,[RFC5424]
,sequenceId,OPTIONAL,[RFC5424]
,sysUpTime,OPTIONAL,[RFC5424]
,language,OPTIONAL,[RFC5424]
snmp,,OPTIONAL,[RFC5675]
,ctxEngine,OPTIONAL,[RFC5675]
,ctxName,OPTIONAL,[RFC5675]
,v<N>,OPTIONAL,[RFC5675]
,l<N>,OPTIONAL,[RFC5675]
,o<N>,OPTIONAL,[RFC5675]
,x<N>,OPTIONAL,[RFC5675]
,c<N>,OPTIONAL,[RFC5675]
,C<N>,OPTIONAL,[RFC5675]
,u<N>,OPTIONAL,[RFC5675]
,d<N>,OPTIONAL,[RFC5675]
,i<N>,OPTIONAL,[RFC5675]
,n<N>,OPTIONAL,[RFC5675]
,p<N>,OPTIONAL,[RFC5675]
,t<N>,OPTIONAL,[RFC5675]
,a<N>,OPTIONAL,[RFC5675]
alarm,,OPTIONAL,[RFC5674]
,resource,MANDATORY,[RFC5674]
,probableCause,MANDATORY,[RFC5674]
,perceivedSeverity,MANDATORY,[RFC5674]
,eventType,OPTIONAL,[RFC5674]
,trendIndication,OPTIONAL,[RFC5674]
,resourceURI,OPTIONAL,[RFC5674]
ssign,,MANDATORY,[RFC5848]
,VER,MANDATORY,[RFC5848]
,RSID,MANDATORY,[RFC5848]
,SG,MANDATORY,[RFC5848]
,SPRI,MANDATORY,[RFC5848]
,GBC,MANDATORY,[RFC5848]
,FMN,MANDATORY,[RFC5848]
,CNT,MANDATORY,[RFC5848]
,HB,MANDATORY,[RFC5848]
,SIGN,MANDATORY,[RFC5848]
ssign-cert,,MANDATORY,[RFC5848]
,VER,MANDATORY,[RFC5848]
,RSID,MANDATORY,[RFC5848]
,SG,MANDATORY,[RFC5848]
,SPRI,MANDATORY,[RFC5848]
,TPBL,MANDATORY,[RFC5848]
,INDEX,MANDATORY,[RFC5848]
,FLEN,MANDATORY,[RFC5848]
,FRAG,MANDATORY,[RFC5848]
,SIGN,MANDATORY,[RFC5848]
PCNNode,,OPTIONAL,[RFC6661]
,ID,MANDATORY,[RFC6661]
,Rtyp,MANDATORY,[RFC6661]
PCNTerm,,OPTIONAL,[RFC6661]
,IngrID,MANDATORY,[RFC6661]
,EgrID,MANDATORY,[RFC6661]
,TermRate,MANDATORY,[RFC6661]
,FCnt,MANDATORY,[RFC6661]
