Numerical Code,Severity,Reference
0,Emergency: system is unusable,[RFC5424]
1,Alert: action must be taken immediately,[RFC5424]
2,Critical: critical conditions,[RFC5424]
3,Error: error conditions,[RFC5424]
4,Warning: warning conditions,[RFC5424]
5,Notice: normal but significant condition,[RFC5424]
6,Informational: informational messages,[RFC5424]
7,Debug: debug-level messages,[RFC5424]
