Value,Description,Reference
1,Bad EXPLICIT_ROUTE object,[RFC3209]
2,Bad strict node,[RFC3209]
3,Bad loose node,[RFC3209]
4,Bad initial subobject,[RFC3209]
5,No route available toward destination,[RFC3209]
6,Unacceptable label value,[RFC3209]
7,RRO indicated routing loops,[RFC3209]
8,"MPLS being negotiated, but a non-RSVP-capable router stands in the path",[RFC3209]
9,MPLS label allocation failure,[RFC3209]
10,Unsupported L3PID,[RFC3209]
11,Label Set,[RFC3473]
12,Switching Type,[RFC3473]
13,Unassigned,[RFC3473]
14,Unsupported Encoding,[RFC3473]
15,Unsupported Link Protection,[RFC3473]
16,Unknown Interface Index,[RFC3477]
17,Unsupported LSP Protection,[RFC4872]
18,PROTECTION object not applicable,[RFC4872]
19,Bad PRIMARY_PATH_ROUTE object,[RFC4872]
20,PRIMARY_PATH_ROUTE object not applicable,[RFC4872]
21,LSP Segment Protection Failed,[RFC4873]
22,Re-routing limit exceeded,[RFC4920]
23,Unable to Branch,[RFC4875]
24,Unsupported LSP Integrity,[RFC4875]
25,P2MP Re-Merge Detected,[RFC4875]
26,P2MP Re-Merge Parameter Mismatch,[RFC4875]
27,ERO Resulted in Re-Merge,[RFC4875]
28,Contiguous LSP type not supported,[RFC5151]
29,ERO conflicts with inter-domain signaling method,[RFC5151]
30,Stitching unsupported,[RFC5150]
31,Unknown PCE-ID for PKS expansion,[RFC5553]
32,Unreachable PCE for PKS expansion,[RFC5553]
33,Unknown Path Key for PKS expansion,[RFC5553]
34,ERO too large for MTU,[RFC5553]
35,Unknown Endpoint,[RFC6005]
36,Unsupported Diversity Identifier Type,[RFC8390]
37-63,Unassigned,
64,Unsupported Exclude Route Subobject Type,[RFC4874]
65,Inconsistent Subobject,[RFC4874]
66,Local Node in Exclude Route,[RFC4874]
67,Route Blocked by Exclude Route,[RFC4874]
68,XRO Too Complex,[RFC4874]
69,EXRS Too Complex,[RFC4874]
70,TE link label usage failure,[RFC8577]
71,Label stack imposition failure,[RFC8577]
72-99,Unassigned,
100,Diversity not available,[RFC3476]
101,Service level not available,[RFC3476]
102,Invalid/Unknown connection ID,[RFC3476]
103,"No route available toward             
source (ASON)",[RFC3474]
104,Unacceptable interface ID (ASON),[RFC3474]
105,Invalid/unknown call ID (ASON),[RFC3474]
106,Invalid SPC interface ID/label (ASON),[RFC3474]
107,Unsupported WavelengthSelection symmetry value,[RFC7689]
108,Unsupported Wavelength Assignment value,[RFC7689]
