Value,Description,Reference
0,Reserved,[RFC8400]
1,IPv4_PRIMARY_EGRESS,"[RFC8400, Section 4.1.1]"
2,IPv6_PRIMARY_EGRESS,"[RFC8400, Section 4.1.1]"
3,IPv4_P2P_LSP_ID,"[RFC8400, Section 4.1.2]"
4,IPv6_P2P_LSP_ID,"[RFC8400, Section 4.1.2]"
5-127,Unassigned,
128-255,Reserved,[RFC8400]
