Bit Number,Hex Value,Name,Reference
31,0x0001,RecoveryPath Srefresh Capable (S),[RFC5063]
30,0x0002,RecoveryPath Desired (R),[RFC5063]
29,0x0004,RecoveryPath Transmit Enabled (T),[RFC5063]
28,0x0008,RI-RSVP Capable (I),"[RFC-ietf-teas-rsvp-te-scaling-rec-09, Section 3]"
27,0x0010,Per-Peer Flow-Control Capable (F),"[RFC-ietf-teas-rsvp-te-scaling-rec-09, Section 4]"
26-0,,Unassigned,
