Value,Message Type,Reference
0,Reserved,
1,Path,[RFC2205]
2,Resv,[RFC2205]
3,PathErr,[RFC2205]
4,ResvErr,[RFC2205]
5,PathTear,[RFC2205]
6,ResvTear,[RFC2205]
7,ResvConf,[RFC2205]
8,DREQ,[RFC2745]
9,DREP,[RFC2745]
10,ResvTearConfirm,[Fred_Baker]
11,Unassigned,
12,Bundle,[RFC2961]
13,ACK,[RFC2961]
14,Reserved,
15,Srefresh,[RFC2961]
16-19,Unassigned,
20,Hello,[RFC3209]
21,Notify Message,[RFC3473]
22-24,Unassigned,
25,Integrity Challenge,[RFC2747][RFC3097]
26,Integrity Response,[RFC2747][RFC3097]
27-29,Unassigned,
30,RecoveryPath,[RFC5063]
31-65,Unassigned,
66,DSBM_willing,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager): A
Proposal for Admission Control over IEEE 802-style
networks"", Internet Draft, July 1997.]"
67,I_AM_DSBM,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager): A
Proposal for Admission Control over IEEE 802-style
networks"", Internet Draft, July 1997.]"
68-255,Unassigned,
