Value,Description,Reference
1,IPv4 address,[RFC3209]
2,IPv6 address,[RFC3209]
3,Label,[RFC3473]
4,Unnumbered Interface ID,[RFC3477]
5,RRO Attributes,[RFC5420]
6-33,Unassigned,
34,"SRLG sub-object (TEMPORARY - registered 2014-09-11, extension registered 2016-08-18, expires 2017-09-11)",[draft-ietf-teas-rsvp-te-srlg-collect]
35,Hop Attributes,[RFC7570]
36,"SR-RRO (TEMPORARY - registered 2015-08-14, extension registered 2016-06-29, expires 2017-08-14)",[draft-ietf-pce-segment-routing]
37,Reserved,[RFC4873]
38-63,Unassigned,
64,"Path Key with 32-bit PCE  
ID",[RFC5553]
65,"Path Key with 128-bit     
PCE ID",[RFC5553]
