Numeric Identifier,Name,Reference
0x00000000,Reserved,[RFC8391]
0x00000001,WOTSP-SHA2_256,"[RFC8391, Section 5.2]"
0x00000002,WOTSP-SHA2_512,"[RFC8391, Section 5.2]"
0x00000003,WOTSP-SHAKE_256,"[RFC8391, Section 5.2]"
0x00000004,WOTSP-SHAKE_512,"[RFC8391, Section 5.2]"
0x00000005,WOTSP-SHA2_192,"[SP 800-208, Section 5]"
0x00000006,WOTSP-SHAKE256_256,"[SP 800-208, Section 5]"
0x00000007,WOTSP-SHAKE256_192,"[SP 800-208, Section 5]"
0x00000008-0xDDDDDDDC,Unassigned,
0xDDDDDDDD-0xFFFFFFFF,Reserved for Private Use,[RFC8391]
