Numeric Identifier,Name,Reference
0x00000000,Reserved,[RFC8391]
0x00000001,XMSS-SHA2_10_256,"[RFC8391, Section 5.3]"
0x00000002,XMSS-SHA2_16_256,"[RFC8391, Section 5.3]"
0x00000003,XMSS-SHA2_20_256,"[RFC8391, Section 5.3]"
0x00000004,XMSS-SHA2_10_512,"[RFC8391, Section 5.3]"
0x00000005,XMSS-SHA2_16_512,"[RFC8391, Section 5.3]"
0x00000006,XMSS-SHA2_20_512,"[RFC8391, Section 5.3]"
0x00000007,XMSS-SHAKE_10_256,"[RFC8391, Section 5.3]"
0x00000008,XMSS-SHAKE_16_256,"[RFC8391, Section 5.3]"
0x00000009,XMSS-SHAKE_20_256,"[RFC8391, Section 5.3]"
0x0000000A,XMSS-SHAKE_10_512,"[RFC8391, Section 5.3]"
0x0000000B,XMSS-SHAKE_16_512,"[RFC8391, Section 5.3]"
0x0000000C,XMSS-SHAKE_20_512,"[RFC8391, Section 5.3]"
0x0000000D,XMSS-SHA2_10_192,"[SP 800-208, Section 5.2]"
0x0000000E,XMSS-SHA2_16_192,"[SP 800-208, Section 5.2]"
0x0000000F,XMSS-SHA2_20_192,"[SP 800-208, Section 5.2]"
0x00000010,XMSS-SHAKE256_10_256,"[SP 800-208, Section 5.3]"
0x00000011,XMSS-SHAKE256_16_256,"[SP 800-208, Section 5.3]"
0x00000012,XMSS-SHAKE256_20_256,"[SP 800-208, Section 5.3]"
0x00000013,XMSS-SHAKE256_10_192,"[SP 800-208, Section 5.4]"
0x00000014,XMSS-SHAKE256_16_192,"[SP 800-208, Section 5.4]"
0x00000015,XMSS-SHAKE256_20_192,"[SP 800-208, Section 5.4]"
0x00000016-0xDDDDDDDC,Unassigned,
0xDDDDDDDD-0xFFFFFFFF,Reserved for Private Use,[RFC8391]
