Flag,Value,Reference
A,0x8000,[RFC6275]
H,0x4000,[RFC6275]
L,0x2000,[RFC6275]
K,0x1000,[RFC6275]
M,0x0800,[RFC4140]
R,0x0400,[RFC3963]
P,0x0200,[RFC5213]
F,0x0100,[RFC5555]
T,0x0080,[RFC5845]
B,0x0040,[RFC6602]
S,0x0020,[RFC7161]
