Flag,Value,Description,Reference
S,0x80,Assigned Address Configuration flag,[RFC5568]
U,0x40,Buffer flag,[RFC5568]
P,0x20,Proxy flag,[RFC5949]
F,0x10,Forwarding flag,[RFC5949]
