Value,Description,Reference
0,Reserved,[RFC7077]
1,FORCE-REREGISTRATION,[RFC7077]
2,UPDATE-SESSION-PARAMETERS,[RFC7077]
3,VENDOR-SPECIFIC-REASON,[RFC7077]
4,ANI-PARAMS-REQUESTED,[RFC7077]
5,QOS_SERVICE_REQUEST,[RFC7222]
6,PGW-TRIGGERED-PCSCF-RESTORATION-PCO,[3GPP TS 29.275][Kimmo_Kymalainen]
7,PGW-TRIGGERED-PCSCF-RESTORATION-DHCP,[3GPP TS 29.275][Kimmo_Kymalainen]
8,FLOW-MOBILITY,[RFC-ietf-netext-pmipv6-flowmob-18]
9-254,Unassigned,
255,Reserved,[RFC7077]
