Flag,Value,Reference
K,0x80,[RFC6275]
R,0x40,[RFC3963]
P,0x20,[RFC5213]
T,0x10,[RFC5845]
B,0x08,[RFC6602]
S,0x04,[RFC7161]
D,0x02,[RFC8885]
