Code,Description,Reference
0,FBU with the PCoA as source IP address,[RFC5568]
1,FBU whose source IP address is not PCoA,[RFC5568]
2,Indicate the completion of forwarding,[RFC5949]
3,All available context transferred,[RFC5949]
4-255,Unassigned,
