Value,Meaning,Reference
0,PANA_SUCCESS,[RFC5191]
1,PANA_AUTHENTICATION_REJECTED,[RFC5191]
2,PANA_AUTHORIZATION_REJECTED,[RFC5191]
3-4294967295,Unassigned,
