Value,Profile,Reference
"{0x00, 0x00}",Reserved,[RFC5764]
"{0x00, 0x01}",SRTP_AES128_CM_HMAC_SHA1_80,[RFC5764]
"{0x00, 0x02}",SRTP_AES128_CM_HMAC_SHA1_32,[RFC5764]
"{0x00, 0x03-4}",Unassigned,
"{0x00, 0x05}",SRTP_NULL_HMAC_SHA1_80,[RFC5764]
"{0x00, 0x06}",SRTP_NULL_HMAC_SHA1_32,[RFC5764]
"{0x00, 0x07}",SRTP_AEAD_AES_128_GCM,[RFC7714]
"{0x00, 0x08}",SRTP_AEAD_AES_256_GCM,[RFC7714]
