Type Value,Description,Reference
0,Administrator field is a two-byte Autonomous System Number,[RFC4364]
1,Administrator field is a four-byte IP Address,[RFC4364]
2,Administrator field is a four-byte Autonomous System Number,[RFC4364]
3-65534,Unassigned,
65535,For Use Only in Certain Leaf A-D Routes,[RFC7524]
