Bit Number,Capability Description,Reference
0,Unassigned,
1,Root Proxies EDAR/EDAC (P),[RFC9010]
2,Turn on RFC8138 Compression (T),[RFC-ietf-roll-turnon-rfc8138-18]
3,RPI 0x23 enable,[RFC9008]
4,Authentication Enabled (A),[RFC6550]
5-7,Path Control Size (PCS),[RFC6550]
