Value,Change Controller,Definition and Usage,Reference
xmpp-client,IETF,Specifies the location of a POSH file containing verification material or a reference thereto that enables a client to verify the identity of a server for a client-to-server stream in XMPP,[RFC7712]
xmpp-server,IETF,Specifies the location of a POSH file containing verification material or a reference thereto that enables a server to verify the identity of a peer server for a server-to-server stream in XMPP,[RFC7712]
