Value,Name,Reference
0,"Equivalent to the ""standard"" topology",[RFC5120]
1,Reserved for IPv4 in-band management purposes,[RFC5120]
2,Reserved for IPv6 routing topology,[RFC5120]
3,Reserved for IPv4 multicast routing topology,[RFC5120]
4,Reserved for IPv6 multicast routing topology,[RFC5120]
5,Reserved for IPv6 in-band management purposes,[RFC5120]
6-3995,Unassigned,
3996-4095,Reserved for Private Use,[RFC5120]
