OID Value,Name,Description,References
1.2.840.113549.1.9.16,smime,S/MIME Mail Security,[RFC7107]
1.3.6.1.5.5.0,Reserved,,[IANA]
1.3.6.1.5.5.1,SPKM,Simple Public Key Mechanism,[Carlisle_Adams]
1.3.6.1.5.5.2,SNEGO,Simple GSS-API Negotiation,[Denis_Pinkas]
1.3.6.1.5.5.3,PIM,PEM-Based IDUP Mechanism,[Carlisle_Adams]
1.3.6.1.5.5.4,MIM,MSP-Based IDUP Mechanism,[Carlisle_Adams]
1.3.6.1.5.5.5,p7im,PKCS #7-Based IDUP Mechanism,[Carlisle_Adams]
1.3.6.1.5.5.6,meim,MOSS-Enabling IDUP Mechanism,[Carlisle_Adams]
1.3.6.1.5.5.7,pkix,Public Key Infrastructure,[RFC7299]
1.3.6.1.5.5.8,ipsec,IPsec Key Management,[Rodney_Thayer]
1.3.6.1.5.5.9,lipkey,LIPKEY Mechanism Using SPKM,[RFC2847]
1.3.6.1.5.5.10,iakerb,IAKERB GSS-API Mechanism,[Jonathan_Trostle]
1.3.6.1.5.5.11,ltans,Long-Term Archive and Notary Services,[RFC7036]
1.3.6.1.5.5.12,msec,Multicast Security,[RFC4534]
1.3.6.1.5.5.13,gsscma,GSS_C_MA Mechanism Attributes,[RFC5587]
1.3.6.1.5.5.14,scramsha1,SCRAM-SHA-1,[RFC5802]
1.3.6.1.5.5.15,abfab,"Application Bridging for Federated    
Access Beyond web",[IESG]
1.3.6.1.5.5.16,openid20,OpenID 2.0 mechanism,[RFC6616]
1.3.6.1.5.5.17,SAML20,"Security Assertion Markup Language
(SAML) 2.0 Mechanism",[RFC6595]
1.3.6.1.5.5.18,scramsha256,SCRAM-SHA-256,[RFC7677]
