Decimal,Descriptor,OID Type,References
0,rmonEventsV2,Notifications root,[RFC2819]
1,statistics,OID,[RFC2819]
2,history,OID,[RFC2819]
3,alarm,OID,[RFC2819]
4,hosts,OID,[RFC2819]
5,hostTopN,OID,[RFC2819]
6,matrix,OID,[RFC2819]
7,filter,OID,[RFC2819]
8,capture,OID,[RFC2819]
9,event,OID,[RFC2819]
10,tokenRing,OID,[RFC1513]
11,protocolDir,OID,[RFC4502]
12,protocolDist,OID,[RFC4502]
13,addressMap,OID,[RFC4502]
14,nlHost,OID,[RFC4502]
15,nlMatrix,OID,[RFC4502]
16,alHost,OID,[RFC4502]
17,alMatrix,OID,[RFC4502]
18,usrHistory,OID,[RFC4502]
19,probeConfig,OID,[RFC4502]
20,rmonConformance,OID,[RFC4502]
21,mediaIndependentStats,OID,[RFC3273]
22,switchRMON,M-I,[RFC2613]
23,reserved for apm,M-I,[RFC3729]
24,available,,
25,pmCapsMIB,M-I (defunct),
26,dsmonMIB,M-I,[RFC3287]
27,interfaceTopNMIB,M-I,[RFC3144]
28,sspmMIB,M-I,[RFC4149]
29,hcAlarmMIB,M-I,[RFC3434]
30,tpmMIB,M-I,[RFC4150]
31,reserved for raqmon,M-I,[draft-siddiqui-rmonmib-raqmon-mib-02]
32,reserved for raqmonDs,M-I,[draft-siddiqui-rmonmib-raqmon-pdu-00]
