Decimal,Name,Description,References
1,snmpMIB,MIB for SNMPv2,[RFC3418]
2,snmpM2M,SNMPv2 M2M MIB,[RFC1451]
2,snmpFrameworkMIB,SNMP Management Architecture,[obsolete]
3,partyMIB,SNMPv2 Party MIB,[RFC1447]
3,snmpMPDMIB,SNMP Message Processing,[obsolete]
4,bcmMIB,SNMPv2 Basic Configuration Model,[obsolete]
4,snmpUsmMIB,User-based Security for SNMPv3,[obsolete]
5,scmMIB,Simplified Configuration Model,[obsolete]
5,snmpVacmMIB,View-Based Access Control,[obsolete]
6,usecMIB,User-based Security for SNMPv2,[RFC1910]
7,snmpTargetMIB,SNMP Target,[obsolete]
8,snmpNotificationMIB,SNMP Notification,[obsolete]
9,snmpProxyMIB,SNMP Proxy,[obsolete]
10,snmpFrameworkMIB,SNMP Management Architecture,[RFC3411]
11,snmpMPDMIB,SNMP Message Processing,[RFC3412]
12,snmpTargetMIB,SNMP Target,[RFC3413]
13,snmpNotificationMIB,SNMP Notification,[RFC3413]
14,snmpProxyMIB,SNMP Proxy,[RFC3413]
15,snmpUsmMIB,User-based Security for SNMPv3,[RFC3414]
16,snmpVacmMIB,View-Based Access Control,[RFC3415]
17,marsMIB,Multicast Address Resolution,[obsolete]
18,communityMIB,SNMP Community MIB,[Rob_Frye]
19,snmpv2tmMIB,SNMPv2-TM MIB,[RFC3417]
20,snmpUsmAesMIB,SNMP-USM-AES-MIB,[RFC3826]
21,snmpIEEE802TmMIB,IEEE 802 Transport Mapping,[RFC4789]
1133,communityMIB,SNMPv2 Community MIB,[obsolete]
1134,v2AdminMIB,SNMPv2 Administrative MIB,[obsolete]
1135,usecMIB,MIB for User-based Security,[obsolete]
