Decimal,Name,Description,References
1,snanauObjects,SNANAU Objects,[RFC1666]
2,snanauConformance,SNANAU Conformance,[RFC1666]
3,appcMIB,APPC MIB,[RFC2051]
4,appnMIB,APPN MIB,[RFC2455]
5,dlurMIB,APPN Dep LU Requester MIB,[RFC2232]
6,hprMIB,APPN High Perf. Routing MIB,[RFC2238]
7,ebnMIB,APPN Ext. Border Node MIB,[RFC2457]
8,tn3270eMIB,TN3270E MIB,[RFC2561]
9,tn3270eRtMIB,TN3270E Response Time MIB,[RFC2562]
