Decimal,Descriptor,OID Type,References
1,rmon2MIBCompliances,OID,[RFC4502]
2,rmon2MIBGroups,OID,[RFC4502]
3,smonMIBCompliances,OID,[RFC2613]
4,smonMIBGroups,OID,[RFC2613]
5,hcRMON,M-I,[RFC3273]
6,hcRmonMIBCompliances,OID,[RFC3273]
7,hcRmonMIBGroups,OID,[RFC3273]
8,rmonMibModule,M-I,[RFC2819]
9,rmonCompliances,OID,[RFC2819]
10,rmonGroups,OID,[RFC2819]
