Decimal,Description,References
0,Reserved,[RFC5587]
1,concrete-mech,[RFC5587]
2,pseudo-mech,[RFC5587]
3,composite-mech,[RFC5587]
4,mech-negotiation-mech,[RFC5587]
5,mech-glue,[RFC5587]
6,not-mech,[RFC5587]
7,mech-deprecated,[RFC5587]
8,mech-not-default,[RFC5587]
9,initial-is-framed,[RFC5587]
10,auth-init-princ,[RFC5587]
11,auth-targ-princ,[RFC5587]
12,auth-init-princ-initial,[RFC5587]
13,auth-targ-princ-initial,[RFC5587]
14,auth-init-princ-anon,[RFC5587]
15,auth-targ-princ-anon,[RFC5587]
16,deleg-cred,[RFC5587]
17,integ-prot,[RFC5587]
18,conf-prot,[RFC5587]
19,mic,[RFC5587]
20,wrap,[RFC5587]
21,prot-ready,[RFC5587]
22,replay-detection,[RFC5587]
23,oos-detection,[RFC5587]
24,channel-bindings,[RFC5587]
25,pfs,[RFC5587]
26,compress,[RFC5587]
27,context-transfer,[RFC5587]
28-2147483647,Unassigned,
2147483648-4294967295,Reserved,
