Decimal,Description,References
0,Module identifiers,[RFC7107]
1,CMS content types,[RFC7107]
2,Attributes,[RFC7107]
3,Algorithm identifiers,[RFC7107]
4,Certificate distribution,[RFC7107]
5,Signature policy qualifiers,[RFC7107]
6,Commitment type identifiers,[RFC7107]
7,Test security policies,[RFC7107]
8,Symmetric key dist ctrl attrs,[RFC7107]
9,Signature type identifiers,[RFC7107]
10,Encoded information types,[RFC7107]
11,S/MIME capabilities,[RFC7107]
12,PSKC attributes,[RFC7107]
13,id-ori,[RFC8696]
