Address(es),Description,References,Date Registered,Last Reviewed
224.2.0.0-224.2.127.253,Multimedia Conference Calls,[Steve_Casner],,
224.2.127.254,SAPv1 Announcements,[Steve_Casner],,
224.2.127.255,SAPv0 Announcements (deprecated),[Steve_Casner],,
224.2.128.0-224.2.255.255,SAP Dynamic Assignments,[Steve_Casner],,
