Address(es),Description,References,Change Controller,Date Registered,Last Reviewed
235.0.0.0-238.255.255.255,Reserved,[RFC5771],,,
239.0.0.0-239.255.255.255,Organization-Local Scope,[David_Meyer][RFC2365],,1997-01-01,
