Address(es),Description,References,Change Controller,Date Registered,Last Reviewed
224.1.0.0-224.1.0.37,Reserved,[RFC5771],,,
224.1.0.38,dantz,[Richard_Zulch],,2004-05-01,
224.1.0.39-224.1.1.255,Reserved,[RFC5771],,,
224.1.2.0-224.1.2.255,"Intercontinental Exchange, Inc.",[RIR_Admin],[Intercontinental_Exchange_Inc.],2006-02-17,
224.1.3.0-224.1.4.255,NOB Cross media facilities,[Technicolor_NL_NOC],,2006-05-22,
224.1.5.0-224.1.255.255,Reserved,[RFC5771],,,
