Address(es),Description,References,Date Registered,Last Reviewed
233.252.0.0-233.252.0.255,MCAST-TEST-NET,[IANA][RFC5771][RFC6676],2010-01-20,2010-01-20
233.252.1.0-233.252.1.31,Spryware,[Kenneth_Felix],2010-08-12,
233.252.1.32-233.252.1.255,Unassigned,[IANA],,
233.252.2.0-233.252.7.255,Tradition,[Tradition_Network_Operations_and_Command_Center],2010-08-12,
233.252.8.0-233.252.11.255,BVMF_MKT_DATA,[Roberto_Costa_Simoes],2010-08-12,
233.252.12.0-233.252.13.255,blizznet-tv-services,[Paul_Wallner],2010-09-14,
233.252.124.0-233.255.255.255,Unassigned,[IANA],,
