Value,Attribute,Integer/String/Timestamp,Type,Reference
0,Null,,,[RFC2722]
1-3,Unassigned,,,
4,SourceInterface,Integer,Source Address,[RFC2722]
5,SourceAdjacentType,Integer,Source Address,[RFC2722]
6,SourceAdjacentAddress,String,Source Address,[RFC2722]
7,SourceAdjacentMask,String,Source Address,[RFC2722]
8,SourcePeerType,Integer,Source Address,[RFC2722]
9,SourcePeerAddress,String,Source Address,[RFC2722]
10,SourcePeerMask,String,Source Address,[RFC2722]
11,SourceTransType,Integer,Source Address,[RFC2722]
12,SourceTransAddress,String,Source Address,[RFC2722]
13,SourceTransType,String,Source Address,[RFC2722]
14,DestInterface,Integer,Destination Address,[RFC2722]
15,DestAdjacentType,Integer,Destination Address,[RFC2722]
16,DestAdjacentAddress,String,Destination Address,[RFC2722]
17,DestAdjacentMask,String,Destination Address,[RFC2722]
18,DestPeerType,Integer,Destination Address,[RFC2722]
19,DestPeerAddress,String,Destination Address,[RFC2722]
20,DestPeerMask,String,Destination Address,[RFC2722]
21,DestTransType,Integer,Destination Address,[RFC2722]
22,DestTransType,String,Destination Address,[RFC2722]
23,DestTransMask,String,Destination Address,[RFC2722]
24-25,Unassigned,,,
26,RuleSet,Integer,Meter attribute,[RFC2722]
27,ToOctets,Integer,Source-to-Dest counters,[RFC2722]
28,ToPDUs,Integer,Source-to-Dest counters,[RFC2722]
29,FromOctets,Integer,Dest-to-Source counters,[RFC2722]
30,FromPDUs,Integer,Dest-to-Source counters,[RFC2722]
31,FirstTime,Timestamp,Activity times,[RFC2722]
32,LastActiveTime,Timestamp,Activity times,[RFC2722]
33,SourceSubscriberID,String,Session attributes,[RFC2722]
34,DestSubscriberID,String,Session attributes,[RFC2722]
35,SessionID,String,Session attributes,[RFC2722]
36,SourceClass,Integer,'Computed' attributes,[RFC2722]
37,DestClass,Integer,'Computed' attributes,[RFC2722]
38,FlowClass,Integer,'Computed' attributes,[RFC2722]
39,SourceKind,Integer,'Computed' attributes,[RFC2722]
40,DestKind,Integer,'Computed' attributes,[RFC2722]
41,FlowKind,Integer,'Computed' attributes,[RFC2722]
42-49,Unassigned,,,
50,MatchingStoD,Integer,PME variable,[RFC2722]
51,v1,Integer,Meter Variables,[RFC2722]
52,v2,Integer,Meter Variables,[RFC2722]
53,v3,Integer,Meter Variables,[RFC2722]
54,v4,Integer,Meter Variables,[RFC2722]
55,v5,Integer,Meter Variables,[RFC2722]
56-1023,Unassigned,,,
