Value,Opcode,goto,test,Reference
1,Ignore,0,-,[RFC2722]
2,NoMatch,0,-,[RFC2722]
3,Count,0,-,[RFC2722]
4,CountPkt,0,-,[RFC2722]
5,Return,0,0,[RFC2722]
6,Gosub,1,1,[RFC2722]
7,GosubAct,1,0,[RFC2722]
8,Assign,1,1,[RFC2722]
9,AssignAct,1,0,[RFC2722]
10,Goto,1,1,[RFC2722]
11,GotoAct,1,0,[RFC2722]
12,PushRuleTo,1,1,[RFC2722]
13,PushRuleToAct,1,0,[RFC2722]
14,PushPktTo,1,1,[RFC2722]
15,PushPktToAct,1,0,[RFC2722]
16,PopTo,1,1,[RFC2722]
17,PopToAct,1,0,[RFC2722]
