Registration,Option Identification,Contains,Processing Rules,Contact Information
The channelPriority Option,channelPriority,channelPriority (Section 9.2) [RFC4767],(Section 4.1) [RFC4767],[RFC4767 Authors' Addresses]
The streamType Option,streamType,streamType  (Section 9.3) [RFC4767],(Section 4.2) [RFC4767],[RFC4767 Authors' Addresses]
