AVP Value,Attribute Name,Reference
0,Reserved,
1,AUTHENTICATE_ONLY,[RFC6733]
2,AUTHORIZE_ONLY,[RFC6733]
3,AUTHORIZE_AUTHENTICATE,[RFC6733]
4-4294967295,Unassigned,
