AVP Value,Attribute Name,Reference
0,UNIT_BEFORE_TARIFF_CHANGE,[RFC8506]
1,UNIT_AFTER_TARIFF_CHANGE,[RFC8506]
2,UNIT_INDETERMINATE,[RFC8506]
3-2147483647,Unassigned,
