AVP Code,Attribute Name,Reference
1-255,Radius attributes,[https://www.iana.org/assignments/radius-types]
256,Unassigned,
257,Host-IP-Address,[RFC6733]
258,Auth-Application-Id,[RFC6733]
259,Acct-Application-Id,[RFC6733]
260,Vendor-Specific-Application-Id,[RFC6733]
261,Redirect-Host-Usage,[RFC6733]
262,Redirect-Max-Cache-Time,[RFC6733]
263,Session-Id,[RFC6733]
264,Origin-Host,[RFC6733]
265,Supported-Vendor-Id,[RFC6733]
266,Vendor-Id,[RFC6733]
267,Firmware-Version,[RFC6733]
268,Result-Code,[RFC6733]
269,Product-Name,[RFC6733]
270,Session-Binding,[RFC6733]
271,Session-Server-Failover,[RFC6733]
272,Multi-Round-Time-Out,[RFC6733]
273,Disconnect-Cause,[RFC6733]
274,Auth-Request-Type,[RFC6733]
276,Auth-Grace-Period,[RFC6733]
277,Auth-Session-State,[RFC6733]
278,Origin-State-Id,[RFC6733]
279,Failed-AVP,[RFC6733]
280,Proxy-Host,[RFC6733]
281,Error-Message,[RFC6733]
282,Route-Record,[RFC6733]
283,Destination-Realm,[RFC6733]
284,Proxy-Info,[RFC6733]
285,Re-Auth-Request-Type,[RFC6733]
286,Unassigned,
287,Accounting-Sub-Session-Id,[RFC6733]
288-290,Unassigned,
291,Authorization-Lifetime,[RFC6733]
292,Redirect-Host,[RFC6733]
293,Destination-Host,[RFC6733]
294,Error-Reporting-Host,[RFC6733]
295,Termination-Cause,[RFC6733]
296,Origin-Realm,[RFC6733]
297,Experimental-Result,[RFC6733]
298,Experimental-Result-Code,[RFC6733]
299,Inband-Security-Id,[RFC6733]
300,E2E-Sequence,[RFC6733]
301,DRMP,[RFC7944]
302-317,Unassigned,
318,MIP-FA-to-HA-SPI,[RFC4004]
319,MIP-FA-to-MN-SPI,[RFC4004]
320,MIP-Reg-Request,[RFC4004]
321,MIP-Reg-Reply,[RFC4004]
322,MIP-MN-AAA-Auth,[RFC4004]
323,MIP-HA-to-FA-SPI,[RFC4004]
324,Unassigned,
325,MIP-MN-to-FA-MSA,[RFC4004]
