AVP Value,Attribute Name,Reference
0,Reserved,
1,EVENT_RECORD,[RFC6733]
2,START_RECORD,[RFC6733]
3,INTERIM_RECORD,[RFC6733]
4,STOP_RECORD,[RFC6733]
5-4294967295,Unassigned,
