AVP Value,Attribute Name,Reference
3000,Reserved,
3001,DIAMETER_COMMAND_UNSUPPORTED,[RFC6733]
3002,DIAMETER_UNABLE_TO_DELIVER,[RFC6733]
3003,DIAMETER_REALM_NOT_SERVED,[RFC6733]
3004,DIAMETER_TOO_BUSY,[RFC6733]
3005,DIAMETER_LOOP_DETECTED,[RFC6733]
3006,DIAMETER_REDIRECT_INDICATION,[RFC6733]
3007,DIAMETER_APPLICATION_UNSUPPORTED,[RFC6733]
3008,DIAMETER_INVALID_HDR_BITS,[RFC6733]
3009,DIAMETER_INVALID_AVP_BITS,[RFC6733]
3010,DIAMETER_UNKNOWN_PEER,[RFC6733]
3011,DIAMETER_REALM_REDIRECT_INDICATION,[RFC7075]
3012-3999,Unassigned,
