AVP Value,Attribute Name,Reference
0,DIRECT_DEBITING,[RFC8506]
1,REFUND_ACCOUNT,[RFC8506]
2,CHECK_BALANCE,[RFC8506]
3,PRICE_ENQUIRY,[RFC8506]
4-2147483647,Unassigned,
