AVP Value,Attribute Name,Reference
0,Reserved,[RFC6736]
1,INITIAL_REQUEST,[RFC6736]
2,UPDATE_REQUEST,[RFC6736]
3,QUERY_REQUEST,[RFC6736]
4-2147483647,Unassigned,
