AVP Value,Attribute Name,Reference
0,Reserved,[RFC8506]
1,INITIAL_REQUEST,[RFC8506]
2,UPDATE_REQUEST,[RFC8506]
3,TERMINATION_REQUEST,[RFC8506]
4,EVENT_REQUEST,[RFC8506]
5-2147483647,Unassigned,
