Value,Token,Reference
0x0000000000000001,MIP6_INTEGRATED,[RFC5447]
0x0000000000000002,LOCAL_HOME_AGENT_ASSIGNMENT,[RFC5447]
0x0000010000000000,PMIP6_SUPPORTED,[RFC5779]
0x0000020000000000,IP4_HOA_SUPPORTED,[RFC5779]
0x0000040000000000,LOCAL_MAG_ROUTING_SUPPORTED,[RFC5779]
0x0000080000000000,ASSIGN_LOCAL_IP,[3GPP TS 29.273][Kimmo_Kymalainen]
0x0000100000000000,MIP4_SUPPORTED,[3GPP TS 29.273][Kimmo_Kymalainen]
0x0000200000000000,OPTIMIZED_IDLE_MODE_MOBILITY,[3GPP TS 29.273][Kimmo_Kymalainen]
0x0000400000000000,GTPv2_SUPPORTED,[3GPP TS 29.273][Kimmo_Kymalainen]
0x0000800000000000,IP4_TRANSPORT_SUPPORTED,[RFC6572]
0x0001000000000000,IP4_HOA_ONLY_SUPPORTED,[RFC6572]
0x0002000000000000,INTER_MAG_ROUTING_SUPPORTED,[RFC7156]
