AVP Value,Attribute Name,Reference
0,TIME,[RFC8506]
1,MONEY,[RFC8506]
2,TOTAL-OCTETS,[RFC8506]
3,INPUT-OCTETS,[RFC8506]
4,OUTPUT-OCTETS,[RFC8506]
5,SERVICE-SPECIFIC-UNITS,[RFC8506]
6-2147483647,Unassigned,
