AVP Value,Attribute Name,Reference
0,DONT_CACHE,[RFC6733]
1,ALL_SESSION,[RFC6733]
2,ALL_REALM,[RFC6733]
3,REALM_AND_APPLICATION,[RFC6733]
4,ALL_APPLICATION,[RFC6733]
5,ALL_HOST,[RFC6733]
6,ALL_USER,[RFC6733]
7-4294967295,Unassigned,
