AVP Value,Attribute Name,Reference
0x0000000000000000,Reserved,[RFC7683]
0x0000000000000001,OLR_DEFAULT_ALGO,[RFC7683]
0x0000000000000002,Unassigned,
0x0000000000000004,OLR_RATE_ALGORITHM,[RFC-ietf-dime-doic-rate-control-11]
0x0000000000000008,Unassigned,
0x0000000000000010,OC_PEER_REPORT,[RFC-ietf-dime-agent-overload-11]
0x0000000000000020-0xFFFFFFFFFFFFFFFF,Unassigned,
