ID #,Function Name,Contact,Reference
1,Service Request,[Erik_Guttman],[RFC2608]
2,Service Reply,[Erik_Guttman],[RFC2608]
3,Service Registration,[Erik_Guttman],[RFC2608]
4,Service Deregister,[Erik_Guttman],[RFC2608]
5,Service Acknowledge,[Erik_Guttman],[RFC2608]
6,Attribute Request,[Erik_Guttman],[RFC2608]
7,Attribute Reply,[Erik_Guttman],[RFC2608]
8,DA Advertisement,[Erik_Guttman],[RFC2608]
9,Service Type Request,[Erik_Guttman],[RFC2608]
10,Service Type Reply,[Erik_Guttman],[RFC2608]
11,SA Advertisement,[Erik_Guttman],[RFC2608]
12,Anti-Entropy Request,[Weibin_Zhao],[RFC3528]
13-255,Unassigned,,
