Bit,Flag,Description,Reference
bit 5,AA,Authoritative Answer,[RFC1035]
bit 6,TC,Truncated Response,[RFC1035]
bit 7,RD,Recursion Desired,[RFC1035]
bit 8,RA,Recursion Available,[RFC1035]
bit 9,,Reserved,
bit 10,AD,Authentic Data,[RFC4035][RFC6840][RFC Errata 4924]
bit 11,CD,Checking Disabled,[RFC4035][RFC6840][RFC Errata 4927]
