Type,Name,Early Data,Status,Reference
0x0000,Reserved,NO,Standards Track,[RFC8490]
0x0001,KeepAlive,OK,Standards Track,[RFC8490]
0x0002,RetryDelay,NO,Standards Track,[RFC8490]
0x0003,EncryptionPadding,NA,Standards Track,[RFC8490]
0x0004-0x003F,"Unassigned, reserved for DSO session-management TLVs",NO,,
0x0040,SUBSCRIBE,OK,Standards Track,"[RF8765, Section 6.2]"
0x0041,PUSH,NO,Standards Track,"[RF8765, Section 6.3]"
0x0042,UNSUBSCRIBE,NO,Standards Track,"[RF8765, Section 6.4]"
0x0043,RECONFIRM,NO,Standards Track,"[RF8765, Section 6.5]"
0x0044-0xF7FF,Unassigned,NO,,
0xF800-0xFBFF,Reserved for Experimental/Local Use,NO,,[RFC8490]
0xFC00-0xFFFF,Reserved for future expansion,NO,,
