Type Code,Layer 2 Access Technology,Reference
0x00,Reserved,[RFC4065]
0x01,IEEE 802.3 (Ethernet),[RFC4065]
0x02,IEEE 802.11a,[RFC4065]
0x03,IEEE 802.11b,[RFC4065]
0x04,IEEE 802.11g,[RFC4065]
0x05,IEEE 802.15.1(Bluetooth),[RFC4065]
0x06,IEEE 802.15.3,[RFC4065]
0x07,IEEE 802.15.4,[RFC4065]
0x08,IEEE 802.16,[RFC4065]
0x09,CDMA2000 1xEV-DO Release 0,[Dhananjay_S_Patki][http://3gpp2.org/Public_html/specs/A.S0001-0.1.pdf]
0x0a,CDMA2000 1xEV-DO Revision A,[Dhananjay_S_Patki][http://3gpp2.org/Public_html/specs/A.S0001-A_Entire.pdf]
0x0b,CDMA2000 1xEV-DO Revision B,[Dhananjay_S_Patki][http://3gpp2.org/Public_html/specs/SC.R2001-001_v1.0_060622.pdf][http://3gpp2.org/Public_html/specs/A.S0008-B_v1.0_061019.pdf]
